| Group Name      | Group Repeat Count | Group Size | Subgroup Name   | Subgroup Repeat Count | Subgroup Size | Register Name    | Offset   | Bit Field     | Bit Range | Default Value | Access Type | Testable | Description                                      
|                 |                    |            |                 |                       |               |                  |          | Drive         | [7:4]     | 0x0           | WO1         | N        | Write once after reset                           
|                 |                    |            |                 |                       |               | StatusReg        | 0x184    | Level         | [7:0]     | 0x0           | RO          | Y        | Pin level status                                 
|                 |                    |            |                 |                       |               | EventReg         | 0x188    | EventFlag     | [0:0]     | 0x0           | W1S         | Y        | Write 1 sets flag                                
|                 |                    |            |                 |                       |               |                  |          | ClearFlag     | [1:1]     | 0x0           | W0S         | Y        | Write 0 sets flag (negated)                      
| PeripheralCtrl  |3| 0x30       |                 |                       |               | PowerCtrl        | 0x200    | Enable        | [0:0]     | 0x0           | RW          | Y        | Power enable for peripheral                      
|                 |                    |            |                 |                       |               |                  |          | SleepMode     | [2:1]     | 0x0           | RC          | Y        | Read clears sleep mode                           
|                 |                    |            |                 |                       |               | DMAConfig        | 0x204    | Channel       | [3:0]     | 0x0           | WRS         | Y        | Write as-is, read sets bits                      
|                 |                    |            |                 |                       |               | DMAStatus        | 0x208    | Busy          | [0:0]     | 0x0           | RO          | Y        | DMA busy status                                  
|                 |                    |            |                 |                       |               | ErrorReg         | 0x20C    | Code          | [7:0]     | 0x0           | WOC         | Y        | Write clears, read error                         
|                 |                    |            |                 |                       |               | TestReg          | 0x210    | ToggleBit     | [0:0]     | 0x0           | W0T         | Y        | Write 0 toggles bit                              
|                 |                    |            |                 |                       |               | AdvIntReg        | 0x214    | Pending       | [3:0]     | 0x0           | W1CRS       | Y        | Write 1 clears matching, read sets all           
|                 |                    |            |                 |                       |               |                  |          | Set           | [7:4]     | 0x0           | W0SRC       | Y        | Write 0 sets matching, read clears all           
|||||||singleRepeat|0x300, 0x10| 0..3|[31:0]|0x55|RW|Y|single repeated sfr
|||||||singleSFR|0x340||[31:0]|0xff|RW|y|single sfr
|||||||singleField|0x344||[31:0]|0xf00|RW|y|single field sfr
|||||||||field0|[15:7]|0x71|RW|y|field
|||||||singleRepeatedField|0x348, 0x4|0..1|[31:0]|0xf0|RW|Y|single repeated field sfr
|||||||||field0|[15:8]|0xf|RW|Y|field0
|||||||||field1|[7:0]|0|RW|Y|field1
|||| PeripheralCtrl2|3| 0x30       | PowerCtrl        | 0x400    | Enable        | [0:0]     | 0x0           | RW          | Y        | Power enable for peripheral                      
|                 |                    |            |                 |                       |               |                  |          | SleepMode     | [2:1]     | 0x0           | RC          | Y        | Read clears sleep mode                           
|                 |                    |            |                 |                       |               | DMAConfig        |0x404| Channel       | [3:0]     | 0x0           | WRS         | Y        | Write as-is, read sets bits                      
|                 |                    |            |                 |                       |               | DMAStatus        |0x408| Busy          | [0:0]     | 0x0           | RO          | Y        | DMA busy status                                  
|||||||doubleint|0x494||[63:0]|0|RW|Y|double int size sfr
|||||||long|0x49C||[127:0]|0|RW|Y|long size sfr
||||||||||||||
|||||||longlong|0x4AC||[255:0]|0|RW|Y|long long size sfr
|||||||custom512|0x4CC||[511:0]|0|RW|Y|512b size sfr
