check_id	endpoint_a	endpoint_b	connected	mode	note	errors	hops	a_rtl	a_via_filelist	a_filelist_chain	b_rtl	b_via_filelist	b_filelist_chain
loop_range[3]	top.tie3	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_list[0]	top.tie0	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_list[1]	top.tie1	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_list[2]	top.tie2	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_list[3]	top.tie3	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_csv[0]	top.xA	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_csv[1]	top.xB	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_csv[2]	top.yA	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
loop_csv[3]	top.yB	top.ref	True	port-port	connected; 1 module(s)			/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/rtl/top.v	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f	/home/user/tools/__CFI/scan_inst/examples/connect_expand_verify/filelist.f
# modules_cached	1
