origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
a[1][2]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[1][2]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[1][3:0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][3]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[1][3]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2:0][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2:0][3:0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2][0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][1]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2][1]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][2]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2][2]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2][3:0]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][3]	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	a[2][3]	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5.gj[0].gi[0].ff[0][0]	clk	zz_ff_bit	module input port in zz_ff_bit	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5	clk	zz_d5	module input port in zz_d5	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4	clk	zz_d4	module input port in zz_d4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance	hc_verify_top.u_zigzag.u_deep.d1.d2.d3.d4.d5
# module	zz_d5
# direction	driver
# path_kind	ff
# port_traces	18
# instance_rtl	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v
# instance_via_filelist	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance_filelist_chain	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
