origin_port	trace_direction	boundary_kind	scope	net	module	detail	rtl	via_filelist	filelist_chain
a[1][2]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[1][2]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[1][3:0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[1][3]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[1][3]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2:0][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2:0][3:0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2][0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][1]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2][1]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][2]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2][2]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][3:0]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2][3:0]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
a[2][3]	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	a[2][3]	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4.gj[0].gi[0].ff[0][0]	clk	zz_ff_bit	module input port in zz_ff_bit	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4	clk	zz_r4	module input port in zz_r4	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
clk	driver	port-in	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3	clk	zz_r3	module input port in zz_r3	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance	hc_verify_top.u_zigzag.u_shallow.r1.r2.r3.r4
# module	zz_r4
# direction	driver
# path_kind	comb
# port_traces	18
# instance_rtl	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/rtl/mid_zigzag.v
# instance_via_filelist	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
# instance_filelist_chain	/home/user/tools/__CFI/hc_hierarchy/design/unified_verify/filelist.f
