Parameter,NUM,0..3,,,,,,,,,,,,,,,,,,
PeripheralCtrl,3,0x30,,,,PowerCtrl,0x200,Enable,[0:0],0x0,RW,Y,Power enable for peripheral,,,,,,,
,,,,,,,,SleepMode,[2:1],0x0,RC,Y,Read clears sleep mode,,,,,,,
,,,,,,DMAConfig,0x204,Channel,[3:0],0x0,WRS,Y,Write as-is,,,,,,,
,,,,,,DMAStatus,0x208,Busy,[0:0],0x0,RO,Y,DMA busy status,,,,,,,
,,,,,,ErrorReg,0x20C,Code,[7:0],0x0,WOC,Y,Write clears,,,,,,,
,,,,,,TestReg,0x210,ToggleBit,[0:0],0x0,W0T,Y,Write 0 toggles bit,,,,,,,
,,,,,,AdvIntReg,0x214,Pending,[3:0],0x0,W1CRS,Y,Write 1 clears matching,,,,,,,
,,,,,,,,Set,[7:4],0x0,W0SRC,Y,Write 0 sets matching,,,,,,,
singleRepeat,1,0x300,,,,singleRepeat,"0x300, 0x10",SFR_REPEAT,[31:0],0x55,RW,Y,single repeated sfr,,,,,,,
singleSFR,1,0x340,,,,singleSFR,0x340,,[31:0],0xff,RW,Y,single sfr,,,,,,,
singleField,1,0x344,,,,singleField,0x344,,[31:0],0xf00,RW,Y,single field sfr,,,,,,,
,,,,,,,,field0,[SLICE_A],0x71,RW,Y,field,,,,,,,
singleRepeatedField,1,0x348,,,,singleRepeatedField,"0x348, 0x4",SFR_REPEAT,[31:0],0xf0,RW,Y,single repeated field sfr,,,,,,,
,,,,,,,,field0,[15:8],0xf,RW,Y,field0,,,,,,,
,,,,,,,,field1,[7:0],0,RW,Y,field1,,,,,,,
PeripheralCtrl2,3,0x30,,,,PowerCtrl,0x400,Enable,[0:0],0x0,RW,Y,Power enable for peripheral,,,,,,,
,,,,,,,,SleepMode,[2:1],0x0,RC,Y,Read clears sleep mode,,,,,,,
,,,,,,DMAConfig,0x404,Channel,[3:0],0x0,WRS,Y,Write as-is,,,,,,,
,,,,,,DMAStatus,0x408,Busy,[0:0],0x0,RO,Y,DMA busy status,,,,,,,
,,,,,,doubleint,0x494,,[SIZE_64:0],0,RW,Y,double int size sfr,,,,,,,
,,,,,,long,0x49C,,[SIZE_128:0],0,RW,Y,long size sfr,,,,,,,
,,,,,,longlong,0x4AC,,[SIZE_256:0],0,RW,Y,long long size sfr,,,,,,,
,,,customSRAM,0..5,0x10,custom512,0x500,,[SIZE_512:0],0,RW,Y,512b size sfr,,,,,,,
